업체명,제품명,규격,납품수량,납품단가,납품금액,납품요구결재일자
코카콜라음료주식회사,토레타!,340mL/캔,24.0,430.0,10320.0,20260123
롯데웰푸드 주식회사,파스퇴르단백질+곡물맛,195mL,4194.0,900.0,3774600.0,20260124
코카콜라음료주식회사,토레타!,340mL/캔,48.0,430.0,20640.0,20260126
코카콜라음료주식회사,파워에이드마운틴블라스트,340mL/캔,48.0,490.0,23520.0,20260126
매일유업 주식회사,셀렉스프로핏초콜릿,330mL×12개/상자,2328.0,1397.0,3252216.0,20260126
매일유업 주식회사,셀렉스프로핏초콜릿,330mL×12개/상자,288.0,1397.0,402336.0,20260127
(주)빙그레,더단백밸런스오리지널,190mL,4798.0,800.0,3838400.0,20260127
코카콜라음료주식회사,파워에이드마운틴블라스트,340mL/캔,5952.0,490.0,2916480.0,20260128
매일유업 주식회사,셀렉스프로핏초콜릿,330mL×12개/상자,5688.0,1397.0,7946136.0,20260128
코카콜라음료주식회사,토레타!,340mL/캔,3072.0,430.0,1320960.0,20260128
코카콜라음료주식회사,토레타!,340mL/캔,3672.0,430.0,1578960.0,20260129
코카콜라음료주식회사,파워에이드마운틴블라스트,340mL/캔,3672.0,490.0,1799280.0,20260129
광동제약(주),비타500캔,240mL,3672.0,462.0,1696464.0,20260129
